instance,refreshes,fit_s,treeshap_s,run_wall_s
abz5,2,1.502,0.615,2.56
abz5,2,1.465,0.557,2.46
abz5,1,0.689,0.237,1.31
abz5,3,2.293,0.853,3.61
abz5,3,2.066,0.746,3.25
abz5,2,1.378,0.506,2.31
abz5,2,1.389,0.512,2.33
abz5,2,1.379,0.494,2.29
abz5,2,1.387,0.486,2.29
abz5,2,1.401,0.512,2.34
abz5,2,1.547,0.623,2.62
abz5,2,1.327,0.478,2.21
abz5,2,1.330,0.477,2.21
abz5,3,2.119,0.760,3.32
abz5,2,1.365,0.503,2.30
abz5,2,1.425,0.477,2.34
abz5,2,1.329,0.481,2.22
orb01,1,0.695,0.244,1.32
orb01,1,0.701,0.236,1.33
orb01,2,1.552,0.555,2.56
orb01,1,0.757,0.270,1.41
orb01,2,1.547,0.544,2.50
orb01,2,1.441,0.505,2.36
orb01,2,1.561,0.560,2.55
orb01,1,0.716,0.243,1.35
orb01,2,1.575,0.575,2.58
orb01,2,1.518,0.531,2.47
orb01,1,0.701,0.237,1.33
orb01,1,0.749,0.266,1.41
orb01,2,1.476,0.508,2.40
orb01,1,0.734,0.241,1.38
orb01,3,2.322,0.815,3.60
orb01,2,1.451,0.507,2.37
orb01,2,1.460,0.502,2.37
orb01,2,1.469,0.528,2.41
orb01,2,1.406,0.501,2.31
orb01,2,1.479,0.533,2.42
orb01,2,1.453,0.521,2.38
orb01,2,1.479,0.529,2.43
orb01,1,0.691,0.244,1.32
orb01,2,1.555,0.547,2.58
orb01,2,1.560,0.607,2.59
ta01,2,1.915,0.669,3.64
ta01,2,1.893,0.673,3.62
ta01,2,1.850,0.672,3.56
ta01,2,1.830,0.687,3.54
ta01,2,1.843,0.675,3.57
ta01,2,1.874,0.691,3.61
ta01,1,0.978,0.340,2.32
ta01,2,1.856,0.678,3.56
ta01,1,0.921,0.349,2.25
ta01,1,0.935,0.336,2.26
ta01,2,1.876,0.675,3.63
ta01,1,0.932,0.346,2.29
ta01,1,0.943,0.337,2.28
ta01,2,1.847,0.689,3.58
ta01,2,1.858,0.680,3.56
ta01,2,1.847,0.680,3.59
ta01,2,1.899,0.697,3.70
ta01,1,0.961,0.353,2.31
ta01,2,1.878,0.669,3.59
ta01,1,0.927,0.338,2.24
ta01,1,0.920,0.341,2.28
ta01,3,2.776,1.024,4.91
ta01,2,1.849,0.672,3.57
ta01,1,0.910,0.341,2.23
ta01,2,1.843,0.677,3.56
