,AS-std,MMAS,ACS,Tabu,SHAP-off,SG-ACO
AS-std,1.0,5.735056484157397e-07,0.0013680402040615602,0.0,5.704969829878337e-11,6.661338147750939e-15
MMAS,5.735056484157397e-07,1.0,0.5974701685091625,3.536837489548361e-12,0.6985609829935685,0.09021460251583502
ACS,0.0013680402040615602,0.5974701685091625,1.0,0.0,0.027917591043480683,0.0003348361241336528
Tabu,0.0,3.536837489548361e-12,0.0,1.0,6.122206708258915e-08,3.880706740055917e-05
SHAP-off,5.704969829878337e-11,0.6985609829935685,0.027917591043480683,6.122206708258915e-08,1.0,0.8450501341118832
SG-ACO,6.661338147750939e-15,0.09021460251583502,0.0003348361241336528,3.880706740055917e-05,0.8450501341118832,1.0
