instance,method,mean,std
ft06,AS-std,69.72,3.1822423959633666
ft06,Mag-only,96.24,5.717516943569122
ft06,SHAP-off,65.76,2.4372115213907883
ft06,SG-ACO,63.12,2.7586228448267445
ft06,Wilcoxon SHAP-off vs Mag-only,0.0,1.2036221616497781e-05
la02,AS-std,870.4,27.929971953679676
la02,Mag-only,942.48,28.130825322647986
la02,SHAP-off,854.28,29.868489527705727
la02,SG-ACO,847.48,27.419761730061282
la02,Wilcoxon SHAP-off vs Mag-only,0.0,1.2279185361336645e-05
