A,B,W,p,r_rb,p_holm
SG-ACO,AS-std,8815.5,1.9213914442003002e-09,0.4380557768924303,1.0267720257258886e-08
SG-ACO,MMAS,12727.5,0.016533830948460084,0.1755732607850758,0.016533830948460084
SG-ACO,ACS,8946.5,5.473033039911652e-08,0.4013716962194714,2.1892132159646607e-07
SG-ACO,Tabu,8544.0,1.7112867095431478e-09,-0.4420791432675983,1.0267720257258886e-08
SG-ACO,SHAP-off,6050.0,0.007460184828735896,0.2318923379673713,0.014920369657471792
SHAP-off,AS-std,9594.5,3.6095665099989285e-07,0.3734817813765182,1.0828699529996785e-06
